district	total_area	repair	year	distance	cost
1.0	44	-1	55	4	0.26
2.0	41	-1	55	3	0.244
2.0	41	0	52	5	0.282
1.0	52	0	6	2	0.55
0.0	48	-1	37	2	0.39899999999999997
1.0	53	-1	19	7	0.36
1.0	48	0	48	3	0.28800000000000003
1.0	43	-1	47	6	0.27899999999999997
0.0	55	-1	48	2	0.375
1.0	47	0	61	5	0.295
2.0	68	-1	14	3	0.29
1.0	52	0	27	8	0.37
3.0	43	-1	46	5	0.226
2.0	43	0	52	5	0.275
2.0	44	0	47	4	0.34
1.0	43	-1	46	4	0.25
1.0	43	-1	57	4	0.24
1.0	54	0	36	5	0.35
0.0	65	-1	35	3	0.44
1.0	48	0	34	3	0.365
2.0	44	0	45	2	0.287
2.0	59	0	21	3	0.41
1.0	52	0	34	2	0.3545
1.0	42	0	47	7	0.28
2.0	44	-1	51	4	0.309
2.0	42	0	58	4	0.265
1.0	48	0	31	3	0.335
1.0	43	-1	49	1	0.3
2.0	58	-1	0	11	0.343387
1.0	48	0	25	4	0.355
2.0	53	0	5	7	0.365
2.0	57	-1	59	4	0.249
2.0	49	0	29	7	0.29
2.0	44	0	51	5	0.285
3.0	47	0	2	9	0.33
2.0	45	0	30	2	0.28
1.0	45	0	55	3	0.3
1.0	43	0	55	4	0.265
2.0	49	0	31	4	0.29
2.0	48	0	37	8	0.335
1.0	43	0	35	4	0.28
3.0	60	0	4	9	0.38
0.0	47	-1	36	1	0.385
3.0	41	-1	53	5	0.22
3.0	44	0	44	10	0.2325
2.0	50	0	31	2	0.3
1.0	42	-1	55	4	0.245
1.0	42	0	43	5	0.29
2.0	60	0	1	3	0.465
2.0	47	0	35	2	0.32
2.0	46	0	38	3	0.225
3.0	44	-1	56	9	0.21
2.0	45	0	28	5	0.295
3.0	26	0	38	11	0.16
0.0	43	0	47	2	0.309
1.0	44	0	40	2	0.33
1.0	44	0	39	2	0.38
3.0	48	0	29	17	0.27899999999999997
1.0	42	-1	45	2	0.275
1.0	43	0	33	3	0.285
0.0	45	0	45	0	0.38
2.0	48	-1	32	2	0.285
3.0	65	0	4	16	0.34
2.0	41	-1	58	2	0.215
0.0	42	0	55	0	0.258
2.0	48	0	47	3	0.3
2.0	64	-1	3	7	0.34
2.0	60	-1	4	13	0.389
1.0	46	0	59	4	0.31
1.0	48	0	29	3	0.35978990000000005
3.0	63	0	7	12	0.3
3.0	44	0	38	11	0.239
2.0	45	0	48	2	0.29
1.0	43	-1	52	4	0.23399999999999999
0.0	64	0	66	1	0.38
3.0	68	-1	9	5	0.295
2.0	53	0	40	6	0.285
3.0	44	0	56	9	0.265
1.0	48	-1	31	5	0.355
2.0	47	0	31	8	0.32
1.0	61	-1	65	3	0.31
1.0	45	0	41	3	0.32
1.0	50	0	33	2	0.33
1.0	41	0	55	4	0.28
3.0	45	-1	48	5	0.24
1.0	50	0	26	4	0.385
2.0	50	0	5	7	0.266
2.0	49	0	6	5	0.3599
3.0	55	-1	3	10	0.31
1.0	42	0	52	4	0.249
2.0	48	-1	28	7	0.3
2.0	48	-1	24	5	0.27899999999999997
2.0	44	0	39	8	0.27
3.0	43	0	40	10	0.218
2.0	48	-1	32	8	0.32
3.0	43	-1	56	10	0.21
3.0	48	-1	40	11	0.265
2.0	45	0	50	2	0.275
1.0	68	0	9	5	0.55
2.0	68	0	14	3	0.4999
1.0	48	0	26	1	0.35
2.0	34	0	7	2	0.275
1.0	45	0	50	1	0.298
0.0	42	0	52	2	0.38
2.0	60	0	7	10	0.38
3.0	42	-1	60	4	0.225
1.0	48	-1	34	4	0.32
2.0	43	0	41	5	0.26
2.0	43	0	40	3	0.27
3.0	67	0	2	8	0.369
2.0	48	0	19	3	0.31
2.0	47	-1	27	3	0.29
2.0	48	0	29	7	0.29
3.0	35	0	45	6	0.145
1.0	48	0	29	4	0.325
2.0	44	0	47	4	0.24
2.0	47	-1	29	8	0.28
2.0	67	-1	9	7	0.41
